filename,chroma_frequency,sp_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc,label
414_truck.wav,0.6137455105781555,846.9524862927148,771.6097489896017,1565.6931559244792,0.054219563802083336,-0.12515631318092346,kamyon
415_kamyon.wav,0.6710391640663147,437.3546774467236,916.5342730900711,694.146728515625,0.013120298032407407,4.771199703216553,kamyon
415_truck.wav,0.6024106740951538,853.7686765796226,777.6199858401582,1571.1263020833333,0.053896303530092594,-0.0663604736328125,kamyon
416_kamyon.wav,0.6198751926422119,399.0304561939517,868.2030993190012,621.8709309895834,0.01140453197337963,5.07283353805542,kamyon
416_truck.wav,0.617666482925415,852.2826664769984,779.1339342525021,1569.1324869791667,0.054309986255787035,-0.11055625975131989,kamyon
417_kamyon.wav,0.5715535879135132,389.09592325731137,855.1166723027809,605.8705647786459,0.01003463179976852,5.023154258728027,kamyon
417_truck.wav,0.6146990060806274,850.6524206438662,776.3006896675116,1569.3318684895833,0.053769712094907406,-0.07566381245851517,kamyon
418_kamyon.wav,0.5528380870819092,346.3470362270727,802.464905211622,503.4383138020833,0.009345160590277778,5.4912896156311035,kamyon
418_truck.wav,0.6122773885726929,852.0585386310499,777.1208403567078,1568.5343424479167,0.05433033130787037,-0.09205830842256546,kamyon
419_kamyon.wav,0.5203382968902588,359.41603795800484,814.5522537487277,525.1210530598959,0.009489836516203705,5.725959300994873,kamyon
419_truck.wav,0.6128446459770203,848.7034432927189,771.7693481660988,1565.7430013020833,0.053534613715277776,-0.11256758868694305,kamyon
41_kamyon.wav,0.5200016498565674,432.503676174421,1026.511144804469,565.7450358072916,0.014103642216435185,3.444608688354492,kamyon
41_truck.wav,0.6151999831199646,852.7727067130363,780.5794087533477,1572.3225911458333,0.05353235315393518,-0.07733176648616791,kamyon
420_kamyon.wav,0.5466887950897217,373.9371272471085,829.1567277611522,563.4023030598959,0.010143138744212963,5.564461708068848,kamyon
